Public or Private,Enrollment Profile,name,acceptance rate,enrollment,US News Ranking ,R&D Expenditure ($000),Urban (1) /Suburban- rural (0),Campus size in acres,Medical School (1),Law School (1),city,state,Population of City,Population of the State
Public,High undergraduate,San Francisco State University,91,21868,178,36617,1,142,0,0,San Francisco,CA,808437,39.03 million
Private,Majority undergraduate,Seton Hall University,75,6012,151,5741,0,58,0,1,South Orange,NJ,16743,9.262 million
Public,Very high undergraduate,South Dakota State University,8,9921,296,59590,1,401,0,0,Brookings,SD,23993,909824
Public,High undergraduate,Southern Illinois University-Carbondale,91,8000,280,46967,0,1136,1,1,Carbondale,IL,21717,12.58 million
Private,Majority undergraduate,Southern Methodist University,52,7056,89,57544,1,234,0,1,Dallas,TX,1.3 million,30.03 million
Public,Very high undergraduate,Southern University and A & M College,53.9,6470,395,4344,1,964,0,1,Baton Rouge,LA,221453,4.59 million
Private,Majority undergraduate,Stevens Institute of Technology,46,3988,76,41836,1,55,0,1,Hoboken,NJ,57703,9.262 million
Public,High undergraduate,SUNY College of Environmental Science and Forestry,69,1621,115,32904,1,12,0,0,Syracuse,NY,144451,19.68 million
Public,Very high undergraduate,Tarleton State University,57,14092,376,5055,0,175,0,0,Stephenville,TX,21641,30.03 million
Public,High undergraduate,Tennessee State University,93,9218,395,10859,1,500,0,0,Nashville,TN,692587,6.778 million
Public,Very high undergraduate,Tennessee Technological University,78.1,8537,249,16398,0,267,0,0,Cookeville,TN,35988,6.778 million
Public,High undergraduate,Texas A & M University-Corpus Christi,80,7824,395,15229,1,364,0,0,Corpus Christi,TX,316239,30.03 million
Public,High undergraduate,Texas A & M University-Kingsville,96.5,6092,352,23451,0,250,0,0,Kingsville,TX,24833,30.03 million
Private,High undergraduate,Texas Christian University,56.1,12273,98,18353,0,302,1,0,Fort Worth,TX,956709,30.03 million
Public,High undergraduate,Texas Southern University,93,8632,395,7550,1,150,0,1,Houston,TX,2.303 million,30.03 million
Public,High undergraduate,Texas State University,87.7,33834,208,110102,0,507,0,0,San Marcos,TX,70301,30.03 million
Private,Majority undergraduate,The Catholic University of America,85.6,3011,178,38191,1,176,0,1,Washington,DC,671803,671803
Private,Majority undergraduate,The New School,57,7208,201,19218,1,0.07,0,0,New York,NY,8.336 million,19.68 million
Public,High undergraduate,The University of Texas at Tyler,94,6971,361,1585,1,259,1,0,Tyler,TX,109286,30.03 million
Public,High undergraduate,The University of Texas Rio Grande Valley,94,26434,227,64401,0,665,1,1,Edinburg,TX,104294,30.03 million
Private,Majority undergraduate,Thomas Jefferson University,78,3771,142,173861,0,111,1,1,Philadelphia,PA,1.567 million,12.97 million
Public,High undergraduate,University of Akron Main Campus,83,11323,361,19943,1,218,0,1,Akron,OH,188509,11.76 million
Public,High undergraduate,University of Alaska Fairbanks,65,6826,389,202516,1,225,0,0,Fairbanks,AK,32107,3.046 million
Public,Majority undergraduate,University of Arkansas at Little Rock,56,6236,390,6675,1,250,0,0,Little Rock,AR,202864,7.359 million
Public,Very high undergraduate,University of California-Merced,89,8344,60,48147,0,815,0,0,Merced,CA,91563,39.03 million
Public,High undergraduate,University of Colorado Colorado Springs,90,9540,395,18300,1,550,0,0,Colorado Springs,CO,486248,5.84 million
Private,High undergraduate,University of Dayton,74,8416,133,223000,1,423,0,1,Dayton,OH,135944,11.76 million
Public,High undergraduate,University of Idaho,74,8809,185,139000,0,1585,0,1,Moscow,ID,26249,1.939 million
Public,High undergraduate,University of Maryland Eastern Shore,0.816,1933,369,1228,0,1100,0,0,Princess Anne,MD,3472,6.165 million
